iter	Passed	Remaining
481	1108	1191
482	1110	1188
483	1111	1185
484	1113	1182
485	1115	1179
486	1117	1177
487	1119	1174
488	1121	1171
489	1123	1168
490	1124	1166
491	1126	1163
492	1128	1160
493	1130	1157
494	1133	1155
495	1135	1153
496	1137	1150
497	1139	1148
498	1141	1146
499	1144	1144
500	1146	1141
501	1149	1140
502	1152	1138
503	1154	1136
504	1156	1133
505	1158	1131
506	1160	1128
507	1163	1127
508	1167	1126
509	1170	1124
510	1172	1122
511	1174	1119
512	1178	1118
513	1181	1117
514	1185	1116
515	1188	1114
516	1190	1111
517	1194	1111
518	1196	1108
519	1197	1105
520	1200	1103
521	1203	1101
522	1207	1101
523	1212	1101
524	1214	1099
525	1216	1096
526	1218	1093
527	1223	1093
528	1227	1093
529	1231	1092
530	1234	1090
531	1240	1091
532	1246	1092
533	1249	1090
534	1251	1088
535	1254	1086
536	1257	1084
537	1260	1082
538	1262	1080
539	1264	1077
540	1267	1075
541	1270	1073
542	1273	1071
543	1276	1069
544	1278	1067
545	1280	1064
546	1283	1063
547	1286	1060
548	1289	1059
549	1292	1057
550	1293	1054
551	1295	1051
552	1297	1048
553	1300	1047
554	1303	1045
555	1305	1042
556	1307	1040
557	1309	1037
558	1311	1034
559	1315	1033
560	1318	1031
561	1321	1029
562	1323	1026
563	1324	1024
564	1328	1022
565	1330	1020
566	1333	1018
567	1335	1015
568	1337	1013
569	1338	1010
570	1341	1008
571	1345	1006
572	1346	1003
573	1348	1001
574	1350	998
575	1352	995
576	1354	993
577	1357	991
578	1359	988
579	1360	985
580	1361	982
581	1363	979
582	1365	976
583	1366	973
584	1368	970
585	1370	968
586	1372	965
587	1374	962
588	1376	960
589	1377	957
590	1379	954
591	1381	952
592	1384	950
593	1387	948
594	1389	945
595	1390	942
596	1392	939
597	1393	936
598	1395	934
599	1397	931
600	1399	928
601	1401	926
602	1403	923
603	1405	921
604	1406	918
605	1408	915
606	1409	912
607	1411	910
608	1414	907
609	1416	905
610	1417	902
611	1419	899
612	1421	897
613	1423	894
614	1424	891
615	1426	889
616	1431	888
617	1433	886
618	1436	883
619	1438	881
620	1441	879
621	1443	877
622	1447	875
623	1448	873
624	1450	870
625	1452	867
626	1454	865
627	1457	863
628	1460	861
629	1462	859
630	1464	856
631	1466	854
632	1468	851
633	1470	848
634	1471	845
635	1473	843
636	1476	841
637	1478	838
638	1480	836
639	1481	833
640	1483	830
641	1485	828
642	1486	825
643	1488	822
644	1491	820
645	1492	818
646	1494	815
647	1496	812
648	1497	809
649	1499	807
650	1501	804
651	1502	802
652	1505	799
653	1507	797
654	1509	794
655	1510	792
656	1512	789
657	1513	786
658	1515	784
659	1516	781
660	1518	778
661	1521	776
662	1523	774
663	1524	771
664	1526	768
665	1528	766
666	1529	763
667	1531	761
668	1532	758
669	1536	756
670	1537	754
671	1539	751
672	1541	748
673	1542	746
674	1544	743
675	1546	741
676	1548	738
677	1551	736
678	1553	734
679	1554	731
680	1555	728
681	1557	726
682	1558	723
683	1561	721
684	1563	718
685	1566	716
686	1567	714
687	1569	711
688	1571	709
689	1572	706
690	1574	704
691	1576	701
692	1578	699
693	1580	696
694	1582	694
695	1583	691
696	1585	689
697	1587	686
698	1588	684
699	1590	681
700	1592	679
701	1594	677
702	1596	674
703	1597	671
704	1599	669
705	1600	666
706	1602	664
707	1604	661
708	1605	658
709	1607	656
710	1609	654
711	1611	651
712	1613	649
713	1614	646
714	1616	644
715	1617	641
716	1619	639
717	1620	636
718	1623	634
719	1625	632
720	1626	629
721	1628	626
722	1629	624
723	1631	621
724	1632	619
725	1634	616
726	1636	614
727	1639	612
728	1641	610
729	1643	607
730	1645	605
731	1646	602
732	1648	600
733	1649	597
734	1652	595
735	1654	593
736	1656	591
737	1659	589
738	1660	586
739	1662	584
740	1663	581
741	1665	579
742	1667	576
743	1670	574
744	1672	572
745	1674	569
746	1675	567
747	1677	565
748	1678	562
749	1680	560
750	1682	557
751	1685	555
752	1687	553
753	1689	551
754	1690	548
755	1692	546
756	1694	543
757	1695	541
758	1698	539
759	1700	537
760	1702	534
761	1704	532
762	1705	529
763	1707	527
764	1708	524
765	1712	523
766	1714	520
767	1715	518
768	1717	515
769	1718	513
770	1720	510
771	1721	508
772	1723	506
773	1725	503
774	1727	501
775	1730	499
776	1732	497
777	1734	494
778	1736	492
779	1738	490
780	1740	487
781	1743	485
782	1747	484
783	1748	481
784	1750	479
785	1752	477
786	1753	474
787	1755	472
788	1758	470
789	1761	468
790	1764	466
791	1765	463
792	1767	461
793	1769	458
794	1771	456
795	1773	454
796	1775	452
797	1777	450
798	1782	448
799	1784	446
800	1786	443
801	1788	441
802	1789	439
803	1791	436
804	1794	434
805	1797	432
806	1800	430
807	1803	428
808	1805	426
809	1807	423
810	1809	421
811	1810	419
812	1813	417
813	1816	415
814	1819	413
815	1821	410
816	1822	408
817	1824	405
818	1826	403
819	1831	402
820	1833	399
821	1837	397
822	1841	395
823	1842	393
824	1845	391
825	1847	389
826	1848	386
827	1850	384
828	1853	382
829	1857	380
830	1860	378
831	1863	376
832	1865	373
833	1866	371
834	1868	369
835	1873	367
836	1875	365
837	1878	363
838	1880	360
839	1881	358
840	1883	356
841	1886	354
842	1890	352
843	1893	349
844	1895	347
845	1897	345
846	1899	343
847	1900	340
848	1902	338
849	1904	336
850	1907	333
851	1909	331
852	1912	329
853	1913	327
854	1915	324
855	1918	322
856	1921	320
857	1924	318
858	1926	316
859	1927	313
860	1929	311
861	1931	309
862	1933	306
863	1937	304
864	1938	302
865	1940	300
866	1941	297
867	1943	295
868	1944	293
869	1946	290
870	1950	288
871	1952	286
872	1954	284
873	1956	282
874	1957	279
875	1959	277
876	1961	275
877	1964	272
878	1966	270
879	1967	268
880	1969	266
881	1970	263
882	1972	261
883	1973	259
884	1976	256
885	1978	254
886	1982	252
887	1983	250
888	1985	247
889	1986	245
890	1988	243
891	1990	241
892	1994	238
893	1996	236
894	1998	234
895	2000	232
896	2001	229
897	2003	227
898	2005	225
899	2008	223
900	2010	220
901	2012	218
902	2013	216
903	2015	214
904	2017	211
905	2019	209
906	2022	207
907	2025	205
908	2027	202
909	2029	200
910	2030	198
911	2032	196
912	2033	193
913	2035	191
914	2038	189
915	2040	187
916	2044	185
917	2045	182
918	2047	180
919	2049	178
920	2052	176
921	2053	173
922	2056	171
923	2059	169
924	2061	167
925	2063	164
926	2066	162
927	2067	160
928	2070	158
929	2073	156
930	2075	153
931	2078	151
932	2081	149
933	2082	147
934	2083	144
935	2085	142
936	2087	140
937	2090	138
938	2093	135
939	2095	133
940	2098	131
941	2099	129
942	2101	127
943	2103	124
944	2108	122
945	2110	120
946	2113	118
947	2115	116
948	2116	113
949	2118	111
950	2123	109
951	2126	107
952	2128	104
953	2130	102
954	2131	100
955	2133	98
956	2138	96
957	2140	93
958	2143	91
959	2145	89
960	2146	87
961	2148	84
962	2152	82
963	2155	80
964	2157	78
965	2159	75
966	2161	73
967	2162	71
968	2164	69
969	2168	67
970	2170	64
971	2173	62
972	2175	60
973	2176	58
974	2178	55
975	2180	53
976	2182	51
977	2184	49
978	2187	46
979	2190	44
980	2192	42
981	2193	40
982	2195	37
983	2197	35
984	2199	33
985	2203	31
986	2205	29
987	2207	26
988	2208	24
989	2210	22
990	2213	20
991	2215	17
992	2219	15
993	2221	13
994	2223	11
995	2227	8
996	2231	6
997	2233	4
998	2235	2
999	2237	0
